# alpha1,beta1,alpha2,beta2
-1.266719,-0.080807,-3.724517,-0.043241
-0.759552,-0.093452,2.321438,-0.056598
3.319921,-0.108174,3.648679,-0.051489
4.374608,-0.083346,1.674811,-0.036974
-3.058336,-0.110322,-4.558485,-0.055786
-1.030820,-0.118961,0.401063,-0.049445
-2.478851,-0.091947,-4.334518,-0.035819
2.589710,-0.099113,0.058724,-0.052912
3.022983,-0.081516,4.675080,-0.039056
0.907433,-0.082150,-0.592580,-0.051193
-6.043269,-0.114174,-4.247282,-0.070154
4.411072,-0.094821,4.389632,-0.037995
5.940103,-0.114297,4.456608,-0.061473
-2.644438,-0.080071,-4.651249,-0.043970
0.923369,-0.139447,-2.012657,-0.060823
-0.893274,-0.092413,-1.122627,-0.040648
2.702954,-0.114725,3.618475,-0.058538
6.132913,-0.135551,4.062486,-0.058254
3.588645,-0.095098,1.864688,-0.035345
0.841786,-0.096148,-1.419680,-0.059622
0.839534,-0.129581,1.393206,-0.056256
-2.686037,-0.069864,-1.678716,-0.035797
3.146761,-0.076758,3.196233,-0.037973
-1.841523,-0.077307,-0.826877,-0.044708
-3.957498,-0.073297,-2.824169,-0.035315
3.128596,-0.100256,4.390964,-0.053864
4.515195,-0.124798,4.279240,-0.059213
-0.199172,-0.104519,-0.841172,-0.046202
-3.941585,-0.104857,-4.424477,-0.051017
3.877257,-0.126552,4.341101,-0.045734
-2.349707,-0.106491,-1.596117,-0.046177
-4.232792,-0.108137,-3.736469,-0.063319
1.542245,-0.120009,0.635291,-0.048818
-0.172666,-0.107256,-0.460572,-0.063292
-2.062742,-0.106543,-2.548650,-0.047059
-2.790141,-0.102829,-0.869012,-0.070526
-0.497116,-0.086018,2.029262,-0.047603
1.309170,-0.111200,2.847959,-0.038042
4.635588,-0.113196,4.314076,-0.060895
-2.332583,-0.065754,-4.261261,-0.035235
7.289457,-0.067637,4.290609,-0.034227
-1.277103,-0.089480,0.458785,-0.049203
2.239873,-0.113743,2.253026,-0.042381
0.414779,-0.082705,0.276209,-0.039022
-1.197865,-0.113984,-4.323457,-0.060655
-1.547042,-0.081983,-1.226942,-0.035592
-1.030821,-0.081963,-0.879072,-0.035767
1.022753,-0.125121,-1.005806,-0.065693
-5.388229,-0.072536,-3.536780,-0.036178
-7.314179,-0.101788,-4.560944,-0.048760
-5.052788,-0.108962,-1.956448,-0.039389
-3.204245,-0.089887,-3.447074,-0.051080
-3.347306,-0.112468,-3.425770,-0.043945
-2.723041,-0.136249,-4.707803,-0.059102
-0.627957,-0.076752,-3.595301,-0.038127
-3.486275,-0.079116,-4.451359,-0.034055
5.199247,-0.094703,4.392519,-0.063389
3.708310,-0.126929,2.184943,-0.062962
-1.952822,-0.106427,-1.467453,-0.040714
6.205242,-0.085560,3.294768,-0.047625
2.520781,-0.086789,1.818249,-0.044522
0.695783,-0.079181,-0.885120,-0.040225
-2.538591,-0.091773,-4.576542,-0.049724
-1.008782,-0.098194,1.076623,-0.036801
-2.431851,-0.067346,0.325788,-0.035309
3.395199,-0.097842,4.702520,-0.063372
2.528618,-0.084830,-0.215714,-0.047161
3.680507,-0.106402,3.771350,-0.066625
4.323152,-0.099402,2.909871,-0.034439
-1.533587,-0.110488,-0.570598,-0.067132
1.586254,-0.101237,-1.143027,-0.036126
4.764131,-0.089799,4.703358,-0.043271
-4.507180,-0.124201,-2.502185,-0.063834
2.911231,-0.075310,3.213765,-0.044762
1.234793,-0.136850,-1.221590,-0.054347
0.713878,-0.103946,0.699115,-0.048082
-3.281320,-0.105766,-4.108964,-0.068325
-1.651602,-0.081768,-1.601913,-0.049745
-3.077350,-0.077680,-2.003854,-0.045200
1.435861,-0.109052,1.075501,-0.051043
0.318793,-0.094247,2.687069,-0.043757
2.035426,-0.121026,0.631251,-0.060992
-2.980165,-0.087311,-2.333386,-0.053983
3.320996,-0.123090,3.655739,-0.062098
2.429863,-0.125924,1.157065,-0.045961
-4.499810,-0.087949,-4.491148,-0.048530
-0.454570,-0.078162,0.673687,-0.034212
-4.435057,-0.108313,-1.699617,-0.039176
0.391123,-0.084142,-0.966048,-0.045860
-1.827963,-0.097128,-4.087153,-0.048851
1.382923,-0.094374,2.379385,-0.035808
-1.681186,-0.069111,-0.164433,-0.034180
6.056594,-0.073483,4.490910,-0.039772
0.616965,-0.088129,1.197406,-0.043398
1.004635,-0.070988,-0.165139,-0.038827
-5.674270,-0.074001,-3.431589,-0.036383
0.448748,-0.122898,2.980140,-0.042468
-0.091813,-0.103366,2.353867,-0.038042
3.879341,-0.115133,1.302720,-0.034976
-1.025567,-0.098547,-0.364875,-0.051365
-1.766181,-0.144533,-2.535304,-0.067197
2.548269,-0.105158,2.987582,-0.057007
-2.610169,-0.114613,-3.956063,-0.063685
-1.598746,-0.084027,-0.680990,-0.053748
4.029996,-0.081385,2.369411,-0.044639
5.133884,-0.112565,4.194288,-0.037622
0.931898,-0.104654,0.367371,-0.037971
-3.470206,-0.124266,-1.885804,-0.059497
-0.687578,-0.110784,0.621990,-0.050071
-0.801813,-0.074671,1.883897,-0.034946
-1.142032,-0.083846,-0.254515,-0.038828
2.025248,-0.093217,2.949525,-0.034710
-1.198263,-0.077257,-0.851851,-0.038549
4.194397,-0.100836,3.573591,-0.062878
0.747079,-0.107393,1.136867,-0.062378
-7.518252,-0.099464,-4.398408,-0.052324
-3.950821,-0.110971,-3.232714,-0.057666
0.115424,-0.082204,-2.016671,-0.036132
0.687557,-0.124585,2.620154,-0.070239
-4.250655,-0.092957,-1.455772,-0.050813
-2.454220,-0.105490,0.325148,-0.050771
2.843114,-0.101809,0.591526,-0.039934
7.269272,-0.111830,4.588830,-0.038278
-1.012806,-0.118664,-2.747242,-0.053954
6.504771,-0.074910,3.657770,-0.043882
4.325728,-0.111155,1.366926,-0.059525
-4.147243,-0.103012,-4.127391,-0.046182
-5.257630,-0.123858,-2.240347,-0.053068
3.820355,-0.070945,3.447850,-0.034315
-4.080357,-0.078046,-4.482126,-0.046853
3.924819,-0.106464,1.308570,-0.036157
-4.600720,-0.137921,-3.112279,-0.057007
5.217823,-0.112022,2.606566,-0.052430
-1.513367,-0.077933,-1.907772,-0.038608
2.122880,-0.078933,1.567873,-0.046823
3.591204,-0.109999,2.733021,-0.070571
-0.839200,-0.117401,1.173410,-0.060504
4.973079,-0.097934,2.198266,-0.058587
-3.329507,-0.113436,-3.450620,-0.045045
1.272143,-0.147898,0.064171,-0.070632
-3.230996,-0.102060,-0.362837,-0.038309
4.655353,-0.085516,4.510933,-0.048130
2.299662,-0.118738,3.202976,-0.048975
-5.389911,-0.111013,-4.614739,-0.056366
3.608677,-0.075797,1.563475,-0.039371
3.701084,-0.092058,0.975945,-0.039951
-2.483491,-0.094351,-2.011549,-0.045075
-3.032329,-0.103884,-1.652240,-0.035496
3.423090,-0.083105,2.778420,-0.037349
1.717244,-0.119558,4.683394,-0.054589
-0.295742,-0.118792,-0.468238,-0.070016
0.207991,-0.074558,-0.731679,-0.035269
-0.696144,-0.089296,-3.212027,-0.041919
2.443337,-0.090854,1.530930,-0.035897
3.262833,-0.126718,1.137103,-0.052379
-1.714516,-0.102018,-2.494100,-0.038934
5.457369,-0.128123,2.381883,-0.060366
0.618276,-0.090957,3.486087,-0.039831
0.721872,-0.108877,0.927559,-0.070904
-2.058844,-0.102018,-3.388240,-0.044226
1.437520,-0.099880,2.375556,-0.050275
-2.902333,-0.087672,-1.544997,-0.049214
3.590047,-0.126204,1.353951,-0.050689
0.581861,-0.081460,0.428232,-0.037031
3.045466,-0.115802,3.059995,-0.038869
2.819810,-0.120530,1.221673,-0.053368
3.043761,-0.112176,3.415496,-0.062203
1.020529,-0.126092,-1.043612,-0.068464
1.500297,-0.086482,-1.549486,-0.041846
-1.372205,-0.079723,0.254298,-0.035798
-5.918488,-0.082272,-3.115116,-0.037471
-2.117147,-0.120323,-0.118421,-0.067355
-3.033777,-0.084470,-4.629601,-0.041539
1.362368,-0.125223,-0.292257,-0.044613
1.547271,-0.117834,-1.106262,-0.038836
-0.882329,-0.097594,1.119304,-0.066724
-5.646371,-0.110591,-2.533567,-0.052209
-6.772483,-0.095506,-4.048243,-0.042745
-0.325959,-0.089707,-1.872821,-0.049404
-1.398636,-0.083557,-0.157592,-0.050979
-2.278047,-0.089683,-0.541841,-0.054781
-3.105220,-0.105127,-0.747735,-0.049075
1.934094,-0.081162,3.136175,-0.042041
2.889717,-0.099260,2.307716,-0.062075
1.166847,-0.116633,3.058909,-0.054504
-1.185636,-0.082262,1.305757,-0.044175
1.962497,-0.068972,4.687416,-0.037878
-5.032675,-0.107703,-2.626351,-0.058648
-4.010479,-0.090481,-2.220343,-0.041112
1.031169,-0.100352,3.872813,-0.041395
-3.716643,-0.084871,-1.884048,-0.046200
2.092913,-0.091368,2.869079,-0.058391
6.295581,-0.106423,4.143675,-0.060243
3.094575,-0.100604,1.552356,-0.041942
-1.788025,-0.087808,0.428698,-0.047571
-7.316630,-0.108886,-4.632150,-0.040474
0.093423,-0.076321,2.104904,-0.036618
0.734179,-0.084517,-2.186632,-0.053333
3.766338,-0.108240,4.418895,-0.052440
0.584559,-0.129839,1.450885,-0.053652
-2.385225,-0.088866,-3.468359,-0.035804
-1.425964,-0.099465,0.566153,-0.040517
2.390268,-0.090579,2.803245,-0.047719
0.250797,-0.098141,-2.511622,-0.059336
2.420119,-0.100720,-0.364415,-0.045697
1.341138,-0.085128,-1.470118,-0.044589
-0.111256,-0.097042,1.061251,-0.048305
0.313700,-0.090110,-1.230406,-0.053235
5.541374,-0.092345,2.895915,-0.044928
-5.380833,-0.125447,-4.022970,-0.062892
-0.316202,-0.075819,2.577195,-0.034684
-2.951759,-0.103299,-1.998150,-0.060508
-5.470678,-0.137143,-2.637298,-0.054962
1.382034,-0.107675,0.435820,-0.055266
0.700746,-0.093947,-0.654650,-0.062632
6.540065,-0.105575,3.905635,-0.047915
-3.011757,-0.140251,-3.226455,-0.065842
-0.950194,-0.106640,-1.001429,-0.050392
1.596721,-0.104694,0.006255,-0.049055
0.063804,-0.086181,0.057159,-0.055538
5.615744,-0.091339,3.935027,-0.048079
-3.094644,-0.096358,-2.763277,-0.055378
-4.715725,-0.097652,-3.685524,-0.056623
-1.372441,-0.083315,-0.120144,-0.034354
4.717229,-0.088109,1.805407,-0.056079
0.263133,-0.075940,-1.715884,-0.038899
-5.159458,-0.073437,-2.508276,-0.042883
1.171537,-0.112316,0.003932,-0.053597
2.484738,-0.091624,0.925628,-0.060978
-0.135270,-0.114229,1.107232,-0.050057
3.864143,-0.079066,3.914462,-0.044093
-3.239876,-0.075242,-2.795848,-0.043484
-3.515460,-0.108586,-3.959642,-0.052333
2.733887,-0.127467,3.985036,-0.063227
-4.632650,-0.086062,-4.685013,-0.054023
3.246462,-0.116150,2.633339,-0.050747
0.403927,-0.128979,3.374381,-0.062103
0.123084,-0.070540,1.068347,-0.034858
-5.703043,-0.135734,-4.356001,-0.067038
4.885664,-0.130330,1.899784,-0.064564
2.802739,-0.112055,2.506764,-0.068504
-1.559195,-0.151291,-0.170246,-0.069463
1.129021,-0.125944,-0.378935,-0.066796
2.088436,-0.112290,1.556450,-0.041269
-1.232025,-0.087574,-2.180000,-0.042682
5.319672,-0.097037,4.072363,-0.040469
-2.764909,-0.104318,-4.557718,-0.046548
-0.708561,-0.122568,-3.469020,-0.055053
0.489530,-0.100955,1.503253,-0.045121
-1.549391,-0.126623,0.927863,-0.060519
6.076332,-0.131572,4.677462,-0.056831
-5.379414,-0.117227,-2.992639,-0.052842
3.365611,-0.068445,3.698555,-0.035549
-3.339897,-0.089657,-4.012218,-0.051107
0.551179,-0.119249,0.263018,-0.059582
-1.680297,-0.103567,1.302405,-0.051416
-5.438574,-0.116714,-2.749196,-0.064092
3.898085,-0.116525,0.945706,-0.062328
3.544489,-0.091000,4.588737,-0.054751
0.625976,-0.083794,2.624822,-0.044524
6.437678,-0.124940,4.711635,-0.045185
6.633657,-0.104105,4.146215,-0.040143
4.626229,-0.122495,4.237444,-0.051253
-2.177075,-0.113825,-4.533161,-0.041510
-1.287297,-0.089408,0.355196,-0.049336
-1.458744,-0.115757,-4.090027,-0.058007
-0.110570,-0.109726,-0.228856,-0.060583
1.041892,-0.104791,2.634858,-0.048547
-0.873620,-0.098854,-3.829785,-0.037394
-1.913910,-0.102656,-2.374148,-0.038996
-5.228447,-0.119574,-3.899816,-0.066002
-2.486087,-0.114176,-1.027292,-0.055543
0.431577,-0.142659,-1.252882,-0.064500
-0.342239,-0.112907,-1.523410,-0.058440
0.117825,-0.099935,-2.387914,-0.057603
1.633241,-0.116815,1.522234,-0.045303
1.800204,-0.095201,0.955324,-0.053274
-0.640499,-0.088324,2.039772,-0.044880
1.006830,-0.067725,1.296116,-0.034197
-1.686083,-0.094465,-2.951340,-0.052631
0.947878,-0.076176,0.664398,-0.036459
-0.705809,-0.083183,-2.046664,-0.040522
0.136656,-0.132159,2.009767,-0.060485
1.474303,-0.079668,3.712600,-0.039976
-4.244985,-0.117623,-1.471612,-0.055625
-4.992957,-0.095689,-4.066193,-0.036212
-0.492979,-0.076823,-3.366834,-0.043391
1.410531,-0.091566,2.581742,-0.047638
5.640600,-0.087009,3.779356,-0.053136
0.686342,-0.109072,1.762838,-0.055776
0.514134,-0.064932,-1.869646,-0.034287
-0.789468,-0.072724,-0.001778,-0.037957
-0.212934,-0.117766,1.510606,-0.064893
-1.973278,-0.115284,-4.513439,-0.069204
2.016684,-0.119694,4.255027,-0.039358
-4.982774,-0.113531,-4.415709,-0.041532
-7.647600,-0.107731,-4.528861,-0.042564
1.380404,-0.084633,4.521646,-0.052849
-0.388773,-0.067489,2.355355,-0.036073
-2.558415,-0.076591,-2.801063,-0.036437
5.764275,-0.127776,3.701896,-0.063813
2.666974,-0.084263,3.213811,-0.037940
3.301290,-0.090443,2.598182,-0.045449
-3.710413,-0.116080,-4.586899,-0.049938
-6.554278,-0.095080,-4.147706,-0.046869
1.588851,-0.085248,4.328172,-0.044781
-1.847696,-0.090280,-2.521628,-0.035467
5.280426,-0.094883,4.273238,-0.054499
0.706291,-0.117725,0.627853,-0.068025
-6.771222,-0.094843,-3.701925,-0.038988
3.318911,-0.123447,1.638521,-0.069154
-2.812518,-0.124236,-1.908996,-0.056945
3.902850,-0.114823,2.059365,-0.057903
-4.815537,-0.088645,-3.994329,-0.049023
-1.999682,-0.084899,-1.823181,-0.038477
5.033525,-0.136180,3.099841,-0.054704
0.394673,-0.109337,-1.932051,-0.046622
-4.259481,-0.091504,-1.806651,-0.040581
0.670272,-0.117527,-2.400948,-0.058818
0.950121,-0.092736,-0.486627,-0.037998
1.424209,-0.087076,-1.192286,-0.039435
-1.360138,-0.106632,0.222420,-0.043113
7.089771,-0.098729,4.394110,-0.065775
3.883921,-0.116271,2.176015,-0.044858
-2.533428,-0.096881,-3.441524,-0.048568
0.171668,-0.100096,-1.880535,-0.063306
-2.756650,-0.085835,-0.787261,-0.048175
-1.484618,-0.102727,-0.538146,-0.051867
3.484939,-0.098279,3.229656,-0.063663
0.936991,-0.122765,3.083485,-0.070946
-0.556613,-0.109086,0.375442,-0.056849
0.695614,-0.077153,1.749559,-0.045038
-0.259667,-0.111022,-2.388895,-0.035869
-0.657091,-0.125513,-0.596575,-0.053250
-1.266984,-0.102509,-1.452258,-0.038533
5.176802,-0.087032,2.961157,-0.045577
0.500772,-0.076940,2.269560,-0.039651
-2.533959,-0.103806,-2.658789,-0.057839
3.776756,-0.093206,3.347785,-0.046001
-4.140838,-0.101318,-2.397595,-0.054018
-3.025679,-0.132544,-0.969925,-0.069298
0.923633,-0.102409,3.164373,-0.037777
1.217195,-0.109788,-1.566473,-0.056533
-6.127881,-0.116207,-4.616556,-0.060694
-1.989305,-0.089908,-1.164087,-0.041623
2.923769,-0.128151,3.266973,-0.056312
-5.192527,-0.102919,-2.378706,-0.051617
-0.639800,-0.118196,1.262874,-0.059077
-2.729432,-0.086748,-2.328501,-0.048057
-4.229961,-0.114095,-3.816738,-0.041643
0.321965,-0.117964,-1.259411,-0.039502
3.194412,-0.128472,0.106829,-0.068805
-0.591151,-0.118162,-1.705860,-0.053703
-1.187803,-0.127238,1.465942,-0.070437
2.750653,-0.095420,2.807105,-0.047743
-0.168745,-0.085756,-1.225061,-0.048541
4.236049,-0.078786,3.222254,-0.040860
-4.637610,-0.099885,-4.064661,-0.058798
-4.003509,-0.083385,-2.157654,-0.039990
1.513424,-0.117724,3.213337,-0.067866
1.477978,-0.069516,3.635936,-0.036783
-1.788426,-0.068343,1.350516,-0.038010
1.896936,-0.066316,-0.610366,-0.035992
-2.403715,-0.090589,-4.047770,-0.040974
-5.935316,-0.133653,-3.072160,-0.063275
4.681090,-0.106021,2.394790,-0.068192
2.930585,-0.105790,-0.025137,-0.063093
-1.299320,-0.086774,-2.019149,-0.047815
3.498513,-0.076178,2.368623,-0.040869
0.252061,-0.128282,-2.855817,-0.054929
-1.313402,-0.094873,-0.186587,-0.048940
2.840804,-0.098561,2.047530,-0.036220
-7.467813,-0.107033,-4.645241,-0.060977
0.339223,-0.096158,-0.149267,-0.052271
2.022813,-0.118739,3.056129,-0.047093
-1.724873,-0.083874,-4.195817,-0.045490
-0.558063,-0.108844,-2.361752,-0.053638
5.151262,-0.094993,4.609919,-0.060831
-2.583188,-0.122644,-1.544494,-0.049773
1.405125,-0.130930,-0.442876,-0.069582
4.220708,-0.075331,4.427284,-0.038403
-0.810874,-0.079762,1.294245,-0.041480
-3.123941,-0.112013,-3.649221,-0.061894
2.764290,-0.097540,1.016678,-0.034319
5.345447,-0.133020,4.070911,-0.057037
-0.491572,-0.077157,-0.322391,-0.045883
3.135638,-0.080853,0.427763,-0.045166
-6.119370,-0.114277,-4.094365,-0.057362
-2.813434,-0.140123,-0.974271,-0.063784
2.000186,-0.106085,-1.087009,-0.041185
2.415934,-0.097609,0.545360,-0.065606
2.889594,-0.101508,0.040543,-0.058720
-6.616352,-0.090049,-4.538007,-0.040658
4.348955,-0.111471,2.222365,-0.052507
1.463092,-0.097497,-1.251223,-0.056898
-4.375914,-0.101121,-2.925162,-0.064211
-3.160705,-0.096103,-4.354261,-0.051175
-1.198729,-0.071151,0.011863,-0.036761
2.273660,-0.080025,3.594702,-0.038773
3.377048,-0.103542,0.646457,-0.047922
0.856086,-0.118757,-0.057664,-0.036754
4.968579,-0.083080,4.026520,-0.047843
2.314427,-0.088174,2.828163,-0.043621
2.468502,-0.094081,-0.148321,-0.051501
-3.720409,-0.090496,-3.577794,-0.049245
-0.923255,-0.074004,0.588675,-0.039005
6.639060,-0.079809,3.748189,-0.047894
-3.151839,-0.086507,-2.878824,-0.036841
-0.450458,-0.079936,-3.337802,-0.037201
0.616970,-0.101557,2.097038,-0.041259
3.324780,-0.093150,0.416356,-0.038868
6.740682,-0.096034,3.956731,-0.037760
-2.679379,-0.127602,-0.385314,-0.058805
-3.775890,-0.095395,-3.726023,-0.048751
-6.209605,-0.111195,-3.236480,-0.059735
-4.452138,-0.113417,-4.150587,-0.049811
4.308548,-0.092324,2.762813,-0.054165
1.621113,-0.101174,0.068507,-0.055576
3.910124,-0.092515,3.033139,-0.043440
0.079814,-0.085978,-2.769610,-0.035489
-0.646514,-0.086153,-1.269287,-0.040478
0.158340,-0.072872,0.819920,-0.039033
-4.859407,-0.084989,-2.683811,-0.052878
1.646434,-0.067426,2.844184,-0.036774
-2.900043,-0.118210,-3.951521,-0.053564
1.721091,-0.075923,1.778359,-0.038820
-3.719143,-0.132663,-3.400395,-0.069284
-1.444326,-0.077442,-1.642564,-0.037179
3.710963,-0.079607,3.127000,-0.041600
3.307979,-0.074260,2.269353,-0.034164
-0.192700,-0.109916,-0.182873,-0.046071
4.093529,-0.100999,1.858415,-0.046593
4.565265,-0.119663,1.617986,-0.052091
2.824040,-0.084997,0.213636,-0.041714
-3.152335,-0.078355,-4.322154,-0.040554
3.969738,-0.098113,4.021223,-0.058605
-4.538136,-0.089344,-1.795676,-0.038897
-6.453911,-0.102849,-3.469148,-0.044217
3.787966,-0.111530,2.062563,-0.044170
4.778056,-0.078094,2.362418,-0.035041
3.178124,-0.102672,4.681080,-0.060930
-0.934554,-0.105506,-2.570659,-0.068039
-2.112421,-0.091763,-2.860838,-0.060695
-1.522482,-0.116033,0.272608,-0.051267
-5.397106,-0.130188,-3.734955,-0.064750
-1.561488,-0.104558,-0.310893,-0.046835
-1.742179,-0.102290,-4.111180,-0.036761
2.241712,-0.080604,1.584043,-0.034108
-0.486766,-0.119127,-2.804290,-0.065819
6.633695,-0.075678,4.140737,-0.042588
-0.486159,-0.103734,1.077839,-0.055645
5.001448,-0.113563,4.664558,-0.059694
-3.005485,-0.108371,-4.243766,-0.038784
-3.396060,-0.114136,-2.578471,-0.040237
-3.350959,-0.092725,-2.957109,-0.062187
1.641829,-0.076860,1.133984,-0.035813
4.240061,-0.105985,3.236276,-0.053305
-6.397120,-0.075503,-3.850918,-0.043741
-3.406987,-0.107429,-4.567113,-0.043996
3.035889,-0.112602,2.832888,-0.065322
-0.673282,-0.097968,0.457123,-0.066568
0.168878,-0.092526,-2.641780,-0.041142
0.467140,-0.103887,-0.265049,-0.063993
1.663278,-0.106204,-1.312379,-0.047156
-6.913464,-0.084052,-3.776853,-0.041572
1.519813,-0.105010,-0.104577,-0.060301
-0.367071,-0.088259,1.982603,-0.041396
-5.408555,-0.078281,-2.603801,-0.043162
-0.745286,-0.083404,-3.555988,-0.045521
2.098813,-0.088157,0.997229,-0.043610
5.359914,-0.070421,2.592033,-0.037803
2.930184,-0.101172,3.648410,-0.053178
4.501800,-0.094913,4.694140,-0.045657
4.067517,-0.087816,0.963917,-0.034371
3.724214,-0.128872,3.573510,-0.063521
3.622673,-0.073588,3.524270,-0.041531
-0.972097,-0.087402,0.680269,-0.044534
2.687017,-0.108315,1.910835,-0.042276
-2.220246,-0.072743,-3.030430,-0.042627
5.229393,-0.103687,2.362768,-0.051164
-3.390414,-0.088565,-1.679675,-0.048562
1.071734,-0.092915,1.660401,-0.039854
0.480930,-0.115404,2.209290,-0.063179
-4.446377,-0.081704,-1.927453,-0.043626
-6.402676,-0.081680,-4.155041,-0.036386
1.600678,-0.142075,3.369314,-0.069359
-4.582962,-0.114118,-2.197763,-0.057905
-1.291871,-0.069463,-1.554347,-0.036883
4.927856,-0.110998,4.136380,-0.046954
-0.802843,-0.099546,0.458518,-0.048969
3.627573,-0.114891,2.214786,-0.036259
-2.057215,-0.093982,-2.211350,-0.052859
-0.594788,-0.082677,-3.178960,-0.040046
2.467019,-0.138187,0.354585,-0.063895
-3.560997,-0.129363,-0.983351,-0.068528
3.433522,-0.100623,3.186326,-0.051108
-1.959353,-0.089097,-1.630117,-0.049258
4.038776,-0.082945,4.223897,-0.052194
-5.727566,-0.077530,-4.299585,-0.045783
-4.247446,-0.115919,-2.426024,-0.051482
0.538299,-0.105172,-0.954652,-0.038413
4.198359,-0.094355,1.905641,-0.053806
-3.002978,-0.097066,-2.306471,-0.048076
-5.894786,-0.064339,-4.182215,-0.034115
-2.235258,-0.095021,-3.679877,-0.048635
-4.504692,-0.095090,-3.164737,-0.040822
-5.919292,-0.119125,-4.637380,-0.069328
4.219378,-0.099952,3.797789,-0.049285
2.895006,-0.116129,1.155629,-0.059414
-2.119930,-0.112409,-2.453697,-0.036864
1.312168,-0.083541,1.313614,-0.048478
1.559494,-0.082691,-0.301953,-0.035040
3.460382,-0.090138,2.106523,-0.045417
3.500285,-0.103649,3.487652,-0.044796
1.354379,-0.088184,-1.539502,-0.046124
0.776940,-0.079331,0.048319,-0.035158
-3.939010,-0.083281,-3.644243,-0.042046
-4.769734,-0.101403,-3.113256,-0.048733
1.797338,-0.097128,0.704312,-0.047219
-3.295519,-0.088107,-2.146681,-0.038135
-2.254283,-0.139450,-1.080606,-0.060486
-3.457389,-0.148154,-2.416032,-0.071390
-2.329513,-0.096049,-1.284622,-0.045652
3.278247,-0.118133,4.351098,-0.057783
1.601345,-0.121449,0.980723,-0.067711
-2.705417,-0.070812,-2.942002,-0.036091
3.005950,-0.099681,3.723754,-0.063245
-0.908959,-0.114957,-1.584700,-0.059323
0.404585,-0.097030,-0.637325,-0.036912
-4.647728,-0.110170,-2.206580,-0.063325
-3.562055,-0.093914,-1.634483,-0.056136
-1.959762,-0.102151,-4.304419,-0.037637
-3.065638,-0.117472,-0.450084,-0.057225
2.422475,-0.093635,4.306366,-0.044792
-2.402108,-0.098641,0.351453,-0.057697
4.921589,-0.124923,4.527178,-0.056253
-5.089591,-0.089773,-4.595701,-0.035637
4.111986,-0.079000,1.693268,-0.044484
-1.346598,-0.107649,1.062427,-0.046668
0.332081,-0.106301,-2.295356,-0.044742
4.267504,-0.091206,2.182981,-0.043814
-1.550658,-0.088754,-4.664806,-0.036556
2.095502,-0.080266,-0.076149,-0.038093
0.537090,-0.116862,-1.803519,-0.038919
-1.118397,-0.113353,1.151752,-0.071353
4.369170,-0.079573,3.944085,-0.044645
2.617372,-0.086823,3.725749,-0.042405
-1.947736,-0.125607,-4.635785,-0.052791
-1.689100,-0.096425,-0.524507,-0.038695
2.349905,-0.082048,3.425875,-0.046402
